TestID,RunID,SA_SideNum,SA_InFifoDepth,SA_OutFifoDepth,SA_InstFifoDepth,activationOutFifoDepth,slicedInstFifoDepth,numCores,TotalCycles,CyclesPerTest,FLOPSPerCycle,Status,ErrorMessage
381,1,8,8,32,16,64,64,4,73596,1471.92,110.09989673351812,Success,
383,1,8,8,32,64,64,64,4,73052,1461.04,110.9197831681542,Success,
385,1,8,16,32,16,32,64,1,112475,2249.5,72.04189375416759,Success,
387,1,8,16,32,64,32,64,1,112475,2249.5,72.04189375416759,Success,
389,1,8,16,32,16,32,64,2,75104,1502.08,107.88922028121006,Success,
391,1,8,16,32,64,32,64,2,73284,1465.68,110.56863708312865,Success,
393,1,8,16,32,16,32,64,4,73596,1471.92,110.09989673351812,Success,
395,1,8,16,32,64,32,64,4,73052,1461.04,110.9197831681542,Success,
397,1,8,16,32,16,64,64,1,112475,2249.5,72.04189375416759,Success,
399,1,8,16,32,64,64,64,1,112475,2249.5,72.04189375416759,Success,
401,1,8,16,32,16,64,64,2,75104,1502.08,107.88922028121006,Success,
403,1,8,16,32,64,64,64,2,73284,1465.68,110.56863708312865,Success,
405,1,8,16,32,16,64,64,4,73596,1471.92,110.09989673351812,Success,
407,1,8,16,32,64,64,64,4,73052,1461.04,110.9197831681542,Success,
409,1,8,32,32,16,32,64,1,112295,2245.9,72.15737120976,Success,
411,1,8,32,32,64,32,64,1,112295,2245.9,72.15737120976,Success,
413,1,8,32,32,16,32,64,2,75104,1502.08,107.88922028121006,Success,
415,1,8,32,32,64,32,64,2,73204,1464.08,110.68947052073658,Success,
417,1,8,32,32,16,32,64,4,73596,1471.92,110.09989673351812,Success,
419,1,8,32,32,64,32,64,4,73052,1461.04,110.9197831681542,Success,
421,1,8,32,32,16,64,64,1,112295,2245.9,72.15737120976,Success,
423,1,8,32,32,64,64,64,1,112295,2245.9,72.15737120976,Success,
425,1,8,32,32,16,64,64,2,75104,1502.08,107.88922028121006,Success,
427,1,8,32,32,64,64,64,2,73204,1464.08,110.68947052073658,Success,
429,1,8,32,32,16,64,64,4,73596,1471.92,110.09989673351812,Success,
431,1,8,32,32,64,64,64,4,73052,1461.04,110.9197831681542,Success,
434,1,8,16,16,16,32,2,2,75104,1502.08,107.88922028121006,Success
2,1,32,8,8,16,32,16,1,395595,7911.9,1148.0541462859742,Success,
4,1,32,8,8,64,32,16,1,395595,7911.9,1148.0541462859742,Success,
6,1,32,8,8,16,32,16,2,362399,7247.98,1253.216703136598,Success,
8,1,32,8,8,64,32,16,2,362399,7247.98,1253.216703136598,Success,
10,1,32,8,8,16,32,16,4,362399,7247.98,1253.216703136598,Success,
12,1,32,8,8,64,32,16,4,362399,7247.98,1253.216703136598,Success,
14,1,32,8,8,16,64,16,1,395595,7911.9,1148.0541462859742,Success,
16,1,32,8,8,64,64,16,1,395595,7911.9,1148.0541462859742,Success,
18,1,32,8,8,16,64,16,2,362399,7247.98,1253.216703136598,Success,
20,1,32,8,8,64,64,16,2,362399,7247.98,1253.216703136598,Success,
22,1,32,8,8,16,64,16,4,362399,7247.98,1253.216703136598,Success,
24,1,32,8,8,64,64,16,4,362399,7247.98,1253.216703136598,Success,
26,1,32,16,8,16,32,16,1,385531,7710.62,1178.0232458609034,Success,
28,1,32,16,8,64,32,16,1,385531,7710.62,1178.0232458609034,Success,
30,1,32,16,8,16,32,16,2,314175,6283.5,1445.5780377178323,Success,
32,1,32,16,8,64,32,16,2,314175,6283.5,1445.5780377178323,Success,
34,1,32,16,8,16,32,16,4,314175,6283.5,1445.5780377178323,Success,
36,1,32,16,8,64,32,16,4,314175,6283.5,1445.5780377178323,Success,
38,1,32,16,8,16,64,16,1,385531,7710.62,1178.0232458609034,Success,
40,1,32,16,8,64,64,16,1,385531,7710.62,1178.0232458609034,Success,
42,1,32,16,8,16,64,16,2,314175,6283.5,1445.5780377178323,Success,
44,1,32,16,8,64,64,16,2,314175,6283.5,1445.5780377178323,Success,
46,1,32,16,8,16,64,16,4,314175,6283.5,1445.5780377178323,Success,
48,1,32,16,8,64,64,16,4,314175,6283.5,1445.5780377178323,Success,
50,1,32,32,8,16,32,16,1,376899,7537.98,1205.003144078387,Success,
52,1,32,32,8,64,32,16,1,376899,7537.98,1205.003144078387,Success,
54,1,32,32,8,16,32,16,2,271009,5420.18,1675.8280352313022,Success,
56,1,32,32,8,64,32,16,2,271009,5420.18,1675.8280352313022,Success,
58,1,32,32,8,16,32,16,4,266524,5330.48,1704.0284552235446,Success,
60,1,32,32,8,64,32,16,4,266524,5330.48,1704.0284552235446,Success,
62,1,32,32,8,16,64,16,1,376899,7537.98,1205.003144078387,Success,
64,1,32,32,8,64,64,16,1,376899,7537.98,1205.003144078387,Success,
66,1,32,32,8,16,64,16,2,271009,5420.18,1675.8280352313022,Success,
68,1,32,32,8,64,64,16,2,271009,5420.18,1675.8280352313022,Success,
70,1,32,32,8,16,64,16,4,266524,5330.48,1704.0284552235446,Success,
72,1,32,32,8,64,64,16,4,266524,5330.48,1704.0284552235446,Success,
74,1,32,8,16,16,32,16,1,395595,7911.9,1148.0541462859742,Success,
76,1,32,8,16,64,32,16,1,395595,7911.9,1148.0541462859742,Success,
78,1,32,8,16,16,32,16,2,362399,7247.98,1253.216703136598,Success,
80,1,32,8,16,64,32,16,2,362399,7247.98,1253.216703136598,Success,
82,1,32,8,16,16,32,16,4,362399,7247.98,1253.216703136598,Success,
84,1,32,8,16,64,32,16,4,362399,7247.98,1253.216703136598,Success,
86,1,32,8,16,16,64,16,1,395595,7911.9,1148.0541462859742,Success,
88,1,32,8,16,64,64,16,1,395595,7911.9,1148.0541462859742,Success,
90,1,32,8,16,16,64,16,2,362399,7247.98,1253.216703136598,Success,
92,1,32,8,16,64,64,16,2,362399,7247.98,1253.216703136598,Success,
